"Crop","Variety","Season/ duration in days","Recommended Zone",""
"Paddy","Chinsurah Rice (IET 19140)","Medium","Andhra Pradesh, Tamil Nadu, Gujarat, Orissa, and West Bengal under irrigated conditions. ",""
"Paddy","(CNI 383-5-11)","","",""
"Paddy","IGKVR-1 (IET 19569)","Mid-early","Chhattisgarh, Madhya Pradesh and Orissa under  both irrigated and rainfed conditions.",""
"Paddy","IGKVR-2 (IET 19795)","Medium","Chhattisgarh, Bihar and Orissa under  both irrigated and rainfed conditions.",""
"Paddy","CR Dhan 401 (REETA) ","145-150","Orissa, West Bengal, Tamil Nadu and Andhra Pradesh under irrigated late sown conditions as well as shallow rainfed lowland.",""
"Paddy","CR Dhan 601 (IET 18558)","160","Boro Area of Orissa, West Bengal and Assam.",""
"Paddy","CR Dhan 501 (IET 19189)","152","Semi deep water condition of Uttar Pradesh and Assam.",""
"Paddy","RC Maniphou 11 (IET 20193)","132-135","Terraced area of Meghalaya and Manipur hills both under irrigated and rainfed condition.",""
"Wheat","MPO(JW)  1215 (MPO 1215)","120","Madhya Pradesh, Chhattisgarh, Gujarat and Rajasthan (Kota and Udaipur Division only) under timely sown irrigated condition.",""
"Wheat","MACS 6222","108","Maharashtra, Karnataka, Andhra Pradesh and Tamil Nadu under timely sown irrigated condition.",""
"Wheat","PDW 314","169","Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand, Paonta Valley & Una District of Himachal Pradesh under timely sown irrigated conditions.",""
"Wheat","DBW39","123","Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal, Assam and Orissa under timely sown irrigated condition.",""
"Wheat","VL Gehun 907 (VL 907)","167 irrigated   & 180 rainfed","Himachal Pradesh,  Jammu & Kashmir, Uttarakhand and Sikkim under timely sown irrigated conditions.",""
"Wheat","Pusa Suketi  HS 507","NA","Himachal Pradesh, Uttarakhand, Jammu and Kashmir and the North Eastern state under timely sown rainfed condition in lower and mid hills.",""
