Particulars,Frequency,Unit, 3-1993, 3-1994, 3-1995, 3-1996, 3-1997, 3-1998, 3-1999, 3-2000, 3-2001, 3-2002, 3-2003, 3-2004, 3-2005, 3-2006, 3-2007, 3-2008, 3-2009, 3-2010, 3-2011, 3-2012, 3-2013, 3-2014
Agricultural Production Foodgrains,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.36282,208.6016,217.28212,230.77504,234.4661774,218.107372,244.4918091,259.2862533,257.13,264.3806
Agricultural Production Foodgrains Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.30942,109.8734,110.57622,120.95724,118.1385774,103.954032,120.8531911,131.2748125,128.07,129.3686
Agricultural Production Foodgrains Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.0534,98.7282,106.7059,109.8178,116.3276,114.15334,123.638618,128.0114408,129.06,135.012
Agricultural Production Foodgrains Rice,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.1317,91.7934,93.3553,96.6929,99.1825,89.092901,95.97981924,105.3011,105.24,106.2872
Agricultural Production Foodgrains Rice Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.23,78.2719,80.1708,82.6594,84.9082,75.91651,80.65124114,92.7807,92.37,92.0093
Agricultural Production Foodgrains Rice Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9017,13.5215,13.1845,14.0335,14.2743,13.176391,15.3285781,12.5204,12.87,14.2779
Agricultural Production Foodgrains Wheat Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.6369,69.3545,75.8067,78.5702,80.6794,80.803558,86.873953,94.8820629,93.51,95.8492
Agricultural Production Foodgrains Jowar,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2443,7.6296,7.1508,7.9259,7.2456,6.698203,7.003147,5.979153,5.28,5.2467
Agricultural Production Foodgrains Jowar Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0444,4.0716,3.7068,4.1149,3.0519,2.763233,3.439147,3.293,2.84,2.2292
Agricultural Production Foodgrains Jowar Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1999,3.558,3.444,3.811,4.1937,3.93497,3.564,2.686153,2.44,3.0175
Agricultural Production Foodgrains Bajra Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9313,7.684,8.4237,9.9701,8.8871,6.506412,10.3699094,10.2760195,8.74,9.1855
Agricultural Production Foodgrains Maize,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.172,14.7099,15.097,18.9554,19.7314,16.719467,21.725752,21.759372,22.26,24.1909
Agricultural Production Foodgrains Maize Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4764,12.1559,11.5563,15.1067,14.1205,12.293291,16.6373746,16.48628,16.19,17.5056
Agricultural Production Foodgrains Maize Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6956,2.554,3.5407,3.8487,5.6109,4.426176,5.0883774,5.273092,6.06,6.6853
Agricultural Production Foodgrains Ragi Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4324,2.3536,1.4436,2.1522,2.0399,1.888462,2.193451,1.929242,1.57,1.8775
Agricultural Production Foodgrains Small Millets Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47762,0.4716,0.4796,0.5507,0.4448,0.381922,0.441967,0.45153,0.44,0.4454
Agricultural Production Foodgrains Barley Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2071,1.2206,1.3279,1.1961,1.6891,1.354658,1.662865,1.61865,1.75,1.7303
Agricultural Production Foodgrains Coarse Cereals,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.46472,34.0693,33.9226,40.7504,40.0379,33.549124,43.3970914,42.0139665,40.04,42.6763
Agricultural Production Foodgrains Coarse Cereals Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.36212,26.7367,25.61,31.8946,28.5442,23.83332,33.081849,32.4360715,29.79,31.2432
Agricultural Production Foodgrains Coarse Cereals Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1026,7.3326,8.3126,8.8558,11.4937,9.715804,10.3152424,9.577895,10.25,11.4331
Agricultural Production Foodgrains Cereals,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.23332,195.2172,203.0846,216.0135,219.8998,203.445583,226.2508636,242.1971294,238.79,244.8127
Agricultural Production Foodgrains Cereals Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.59212,105.0086,105.7808,114.554,113.4524,99.74983,113.7330901,125.2167715,122.16,123.2525
Agricultural Production Foodgrains Cereals Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.6412,90.2086,97.3038,101.4595,106.4474,103.695753,112.5177735,116.9803579,116.63,121.5602
Agricultural Production Foodgrains Tur Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3469,2.738,2.3141,3.07594,2.2655,2.464552,2.86112,2.654046,3.02,3.3822
