StationId,StationName,City,State,Status
AP001,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,Active
AP002,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,
AP003,"Tirumala, Tirupati - APPCB",Tirupati,Andhra Pradesh,
AP004,"PWD Grounds, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,
AP005,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,
AS001,"Railway Colony, Guwahati - APCB",Guwahati,Assam,Active
BR001,"Collectorate, Gaya - BSPCB",Gaya,Bihar,
BR002,"SFTI Kusdihra, Gaya - BSPCB",Gaya,Bihar,
BR003,"Industrial Area, Hajipur - BSPCB",Hajipur,Bihar,
BR004,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,
BR005,"DRM Office Danapur, Patna - BSPCB",Patna,Bihar,Active
BR006,"Govt. High School Shikarpur, Patna - BSPCB",Patna,Bihar,Active
BR007,"IGSC Planetarium Complex, Patna - BSPCB",Patna,Bihar,Active
BR008,"Muradpur, Patna - BSPCB",Patna,Bihar,Active
BR009,"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,Active
BR010,"Samanpura, Patna - BSPCB",Patna,Bihar,Active
CH001,"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,Active
DL001,"Alipur, Delhi - DPCC",Delhi,Delhi,Active
DL002,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,Active
DL003,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,Active
DL004,"Aya Nagar, Delhi - IMD",Delhi,Delhi,Active
DL005,"Bawana, Delhi - DPCC",Delhi,Delhi,Active
DL006,"Burari Crossing, Delhi - IMD",Delhi,Delhi,Inactive
DL007,"CRRI Mathura Road, Delhi - IMD",Delhi,Delhi,Active
DL008,"DTU, Delhi - CPCB",Delhi,Delhi,Active
DL009,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi,Active
DL010,"Dwarka-Sector 8, Delhi - DPCC",Delhi,Delhi,Active
DL011,"East Arjun Nagar, Delhi - CPCB",Delhi,Delhi,Active
DL012,"IGI Airport (T3), Delhi - IMD",Delhi,Delhi,Active
DL013,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,Delhi,Active
DL014,"ITO, Delhi - CPCB",Delhi,Delhi,Active
DL015,"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,Active
DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,Active
DL017,"Lodhi Road, Delhi - IMD",Delhi,Delhi,Active
DL018,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,Delhi,Active
DL019,"Mandir Marg, Delhi - DPCC",Delhi,Delhi,Active
DL020,"Mundka, Delhi - DPCC",Delhi,Delhi,Active
DL021,"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,Active
DL022,"Najafgarh, Delhi - DPCC",Delhi,Delhi,Active
DL023,"Narela, Delhi - DPCC",Delhi,Delhi,Active
DL024,"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,Active
DL025,"North Campus, DU, Delhi - IMD",Delhi,Delhi,Active
DL026,"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,Active
DL027,"Patparganj, Delhi - DPCC",Delhi,Delhi,Active
DL028,"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,Active
DL029,"Pusa, Delhi - DPCC",Delhi,Delhi,Active
DL030,"Pusa, Delhi - IMD",Delhi,Delhi,Active
DL031,"R K Puram, Delhi - DPCC",Delhi,Delhi,Active
DL032,"Rohini, Delhi - DPCC",Delhi,Delhi,Active
DL033,"Shadipur, Delhi - CPCB",Delhi,Delhi,Active
DL034,"Sirifort, Delhi - CPCB",Delhi,Delhi,Active
DL035,"Sonia Vihar, Delhi - DPCC",Delhi,Delhi,Active
DL036,"Sri Aurobindo Marg, Delhi - DPCC",Delhi,Delhi,Active
DL037,"Vivek Vihar, Delhi - DPCC",Delhi,Delhi,Active
DL038,"Wazirpur, Delhi - DPCC",Delhi,Delhi,Active
GJ001,"Maninagar, Ahmedabad - GPCB",Ahmedabad,Gujarat,Active
GJ002,"GIDC, Ankleshwar - GPCB",Ankleshwar,Gujarat,
GJ003,"Sector-10, Gandhinagar - GPCB",Gandhinagar,Gujarat,
GJ004,"GIDC, Nandesari - Nandesari Ind. Association",Nandesari,Gujarat,
GJ005,"Phase-1 GIDC, Vapi - GPCB",Vapi,Gujarat,
GJ006,"Phase-4 GIDC, Vatva - GPCB",Vatva,Gujarat,
HR001,"Patti Mehar, Ambala - HSPCB",Ambala,Haryana,Active
HR002,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,Active
HR003,"Nathu Colony, Ballabgarh - HSPCB",Ballabgarh,Haryana,Active
HR004,"H.B. Colony, Bhiwani - HSPCB",Bhiwani,Haryana,Active
HR005,"Municipal Corporation Office, Dharuhera - HSPCB",Dharuhera,Haryana,Active
