Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU)
2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81
2017-09-01,Western,"1,106.89","1,024.33",25.17,3.81,72.00,21.53
2017-09-01,Southern,576.66,578.55,62.73,49.80,111.57,64.78
2017-09-01,Eastern,441.02,429.39,NaN,NaN,85.94,69.36
2017-09-01,NorthEastern,29.11,15.91,NaN,NaN,24.64,21.21
2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19
2017-09-02,Western,"1,106.89","1,050.91",25.17,3.83,72.00,23.97
2017-09-02,Southern,576.66,562.79,62.73,52.76,111.57,59.49
2017-09-02,Eastern,441.02,425.75,NaN,NaN,85.94,74.18
2017-09-02,NorthEastern,29.11,16.50,NaN,NaN,24.64,20.81
2017-09-03,Northern,624.23,492.69,30.36,35.65,273.27,316.69
2017-09-03,Western,"1,106.89","1,066.73",25.17,3.80,72.00,13.94
2017-09-03,Southern,572.16,530.68,62.73,53.12,111.57,47.53
2017-09-03,Eastern,445.38,427.61,NaN,NaN,85.94,71.05
2017-09-03,NorthEastern,29.11,15.52,NaN,NaN,24.64,23.84
2017-09-04,Northern,624.23,568.34,30.36,35.62,273.27,297.47
2017-09-04,Western,"1,106.89","1,115.43",25.17,3.81,72.00,37.38
2017-09-04,Southern,572.16,562.81,62.73,53.19,111.57,66.20
2017-09-04,Eastern,445.38,450.85,NaN,NaN,85.94,75.21
2017-09-04,NorthEastern,29.11,16.85,NaN,NaN,24.64,24.10
2017-09-05,Northern,628.58,597.08,30.36,35.72,273.27,290.23
2017-09-05,Western,"1,106.89","1,131.78",25.17,3.83,72.00,28.78
2017-09-05,Southern,576.35,575.06,62.73,53.16,111.57,58.00
2017-09-05,Eastern,449.92,459.09,NaN,NaN,85.94,70.29
2017-09-05,NorthEastern,29.11,16.64,NaN,NaN,24.64,22.86
2017-09-06,Northern,628.58,628.93,30.36,35.86,273.27,296.10
2017-09-06,Western,"1,124.57","1,171.82",25.17,3.84,72.00,40.94
2017-09-06,Southern,576.35,549.10,62.73,53.41,111.57,58.70
2017-09-06,Eastern,449.92,464.82,NaN,NaN,85.94,76.43
2017-09-06,NorthEastern,29.11,16.44,NaN,NaN,24.64,27.80
2017-09-07,Northern,628.48,651.03,30.36,35.86,273.27,298.57
2017-09-07,Western,"1,124.57","1,180.30",25.17,3.82,72.00,48.25
2017-09-07,Southern,585.98,565.52,62.73,53.41,111.57,55.52
2017-09-07,Eastern,449.92,461.96,NaN,NaN,85.94,75.34
2017-09-07,NorthEastern,29.11,20.71,NaN,NaN,24.64,24.12
2017-09-08,Northern,628.48,689.88,30.36,35.68,273.27,289.16
2017-09-08,Western,"1,124.57","1,189.75",25.17,3.83,72.00,35.86
2017-09-08,Southern,590.63,549.88,62.73,53.65,111.57,66.92
2017-09-08,Eastern,455.66,454.88,NaN,NaN,85.94,81.48
2017-09-08,NorthEastern,29.11,20.85,NaN,NaN,24.64,24.32
2017-09-09,Northern,631.16,717.43,30.36,35.58,273.27,278.05
2017-09-09,Western,"1,128.66","1,204.61",25.17,3.87,72.00,38.57
2017-09-09,Southern,589.74,549.44,62.73,53.78,111.57,72.25
2017-09-09,Eastern,455.66,455.25,NaN,NaN,85.94,80.46
2017-09-09,NorthEastern,29.11,18.92,NaN,NaN,24.64,24.94
2017-09-10,Northern,620.05,729.84,30.36,35.72,273.27,275.40
2017-09-10,Western,"1,131.56","1,218.51",25.17,3.84,72.00,33.90
2017-09-10,Southern,589.74,548.38,62.73,54.52,111.57,51.99
2017-09-10,Eastern,455.66,432.59,NaN,NaN,85.94,72.65
2017-09-10,NorthEastern,29.11,23.01,NaN,NaN,24.64,26.70
2017-09-11,Northern,623.30,733.92,30.36,35.66,273.27,283.93
2017-09-11,Western,"1,131.56","1,203.65",25.17,3.82,72.00,54.72
2017-09-11,Southern,589.74,574.95,62.73,54.55,111.57,83.20
2017-09-11,Eastern,455.66,435.21,NaN,NaN,85.94,77.93
2017-09-11,NorthEastern,29.11,23.32,NaN,NaN,24.64,22.78
2017-09-12,Northern,623.30,739.87,30.36,34.56,273.27,271.18
2017-09-12,Western,"1,131.56","1,194.99",25.17,3.81,72.00,74.08
2017-09-12,Southern,589.74,585.91,62.73,54.68,111.57,89.81
2017-09-12,Eastern,455.66,440.93,NaN,NaN,85.94,71.55
2017-09-12,NorthEastern,29.11,25.41,NaN,NaN,24.64,24.12
2017-09-13,Northern,628.08,753.80,30.36,30.69,273.27,263.43
2017-09-13,Western,"1,131.56","1,196.40",25.17,3.89,72.00,61.80
2017-09-13,Southern,589.74,602.26,62.73,54.85,111.57,82.27
2017-09-13,Eastern,455.66,450.83,NaN,NaN,85.94,72.06
2017-09-13,NorthEastern,29.11,27.89,NaN,NaN,24.64,25.06
2017-09-14,Northern,628.08,720.86,30.36,30.71,273.27,257.44
2017-09-14,Western,"1,131.56","1,209.96",25.17,3.86,72.00,62.05
2017-09-14,Southern,595.15,589.35,62.73,49.30,111.57,57.32
2017-09-14,Eastern,455.66,450.78,NaN,NaN,85.94,77.80
2017-09-14,NorthEastern,29.11,29.45,NaN,NaN,24.64,24.85
2017-09-15,Northern,628.08,703.60,30.36,30.66,273.27,260.56
2017-09-15,Western,"1,131.56","1,243.93",25.17,3.84,72.00,41.27
2017-09-15,Southern,593.08,593.62,62.73,45.82,111.57,67.95
2017-09-15,Eastern,484.74,438.75,NaN,NaN,85.94,83.76
2017-09-15,NorthEastern,29.11,28.63,NaN,NaN,24.64,20.80
2017-09-16,Northern,628.08,728.47,30.36,30.65,273.27,246.99
2017-09-16,Western,"1,131.56","1,228.99",25.17,3.83,72.00,17.06
2017-09-16,Southern,604.96,573.85,62.73,48.14,111.57,48.77
2017-09-16,Eastern,486.07,443.23,NaN,NaN,85.94,79.07
2017-09-16,NorthEastern,29.11,29.85,NaN,NaN,24.64,19.61
2017-09-17,Northern,628.08,682.88,30.36,30.79,273.27,242.68
2017-09-17,Western,"1,131.56","1,164.03",25.17,3.87,72.00,12.37
2017-09-17,Southern,596.08,494.17,62.73,55.03,111.57,43.19
2017-09-17,Eastern,486.07,421.62,NaN,NaN,85.94,72.32
2017-09-17,NorthEastern,29.11,28.72,NaN,NaN,24.64,19.98
2017-09-18,Northern,628.08,701.28,30.36,28.65,273.27,244.07
2017-09-18,Western,"1,131.56","1,172.61",25.17,3.85,72.00,15.09
2017-09-18,Southern,596.08,480.53,62.73,55.20,111.57,53.84
2017-09-18,Eastern,486.07,390.63,NaN,NaN,85.94,67.06
2017-09-18,NorthEastern,29.11,28.67,NaN,NaN,24.64,20.88
2017-09-19,Northern,628.08,704.14,30.36,26.21,273.27,240.35
2017-09-19,Western,"1,131.56","1,171.83",25.17,3.85,72.00,15.72
2017-09-19,Southern,596.08,472.32,62.73,55.17,111.57,58.74
2017-09-19,Eastern,486.07,417.92,NaN,NaN,85.94,69.41
2017-09-19,NorthEastern,29.11,30.77,NaN,NaN,24.64,20.24
2017-09-20,Northern,624.13,719.08,30.36,26.15,273.27,238.72
2017-09-20,Western,"1,131.56","1,138.76",25.17,3.85,72.00,19.65
2017-09-20,Southern,584.76,479.67,62.73,55.13,111.57,78.19
2017-09-20,Eastern,486.07,418.22,NaN,NaN,85.94,66.42
2017-09-20,NorthEastern,29.11,30.31,NaN,NaN,24.64,21.97
2017-09-21,Northern,624.13,710.69,30.36,26.18,273.27,239.27
2017-09-21,Western,"1,131.56","1,142.49",25.17,3.84,72.00,16.74
2017-09-21,Southern,596.96,524.50,62.73,55.23,111.57,95.32
2017-09-21,Eastern,486.07,438.60,NaN,NaN,85.94,76.02
2017-09-21,NorthEastern,29.11,27.53,NaN,NaN,24.64,22.08
2017-09-22,Northern,222.44,209.74,0.00,0.00,68.81,62.09
2017-09-22,Western,419.55,409.17,0.00,0.00,44.54,3.80
