Date,Open,High,Low,Close,Previous,Change,%Change
2009-03-02,43.19,43.38,41.44,43.17,,0.0,0.0
2009-03-03,43.17,43.9,41.2,43.89,43.17,0.72,0.0167
2009-03-04,43.89,43.89,42.16,42.52,43.89,-1.37,-0.031200000000000002
2009-03-05,42.52,42.71,40.41,41.49,42.52,-1.03,-0.0242
2009-03-06,41.49,41.49,37.57,38.16,41.49,-3.33,-0.0803
2009-03-09,38.16,41.14,38.16,40.87,38.16,2.71,0.071
2009-03-12,40.87,40.87,38.5,39.27,40.87,-1.6,-0.0391
2009-03-13,39.27,39.27,35.08,35.56,39.27,-3.71,-0.0945
2009-03-16,35.56,37.88,35.56,36.7,35.56,1.14,0.032100000000000004
2009-03-17,36.7,38.76,34.85,38.43,36.7,1.73,0.0471
2009-03-18,38.43,38.86,36.99,38.15,38.43,-0.28,-0.0073
2009-03-19,38.15,38.6,36.65,37.74,38.15,-0.41,-0.010700000000000001
2009-03-20,37.74,37.99,34.98,37.0,37.74,-0.74,-0.0196
2009-03-23,37.0,38.6,36.62,38.59,37.0,1.59,0.043
2009-03-24,38.59,39.86,36.34,38.02,38.59,-0.57,-0.0148
2009-03-25,38.02,41.7,35.94,37.41,38.02,-0.61,-0.016
2009-03-26,37.41,40.2,36.52,37.23,37.41,-0.18,-0.0048
2009-03-27,37.23,40.34,36.79,37.58,37.23,0.35,0.0094
2009-03-30,37.58,41.31,37.58,40.09,37.58,2.51,0.0668
2009-03-31,40.09,41.03,39.16,39.49,40.09,-0.6,-0.015
2009-04-01,39.49,39.49,36.42,36.44,39.49,-3.05,-0.0772
2009-04-02,36.44,37.82,34.26,37.37,36.44,0.93,0.0255
2009-04-06,37.37,42.4,36.44,41.02,37.37,3.65,0.0977
2009-04-08,41.02,43.54,39.64,43.29,41.02,2.27,0.0553
2009-04-09,43.29,44.35,40.34,43.21,43.29,-0.08,-0.0018
2009-04-13,43.21,47.32,42.98,46.57,43.21,3.36,0.07780000000000001
2009-04-15,46.57,48.91,44.31,47.59,46.57,1.02,0.0219
2009-04-16,47.59,51.55,44.47,50.1,47.59,2.51,0.0527
2009-04-17,50.1,51.58,44.98,50.65,50.1,0.55,0.011000000000000001
2009-04-20,50.65,55.6,44.57,54.41,50.65,3.76,0.0742
2009-04-21,54.41,54.99,50.38,53.27,54.41,-1.14,-0.021
2009-04-22,48.47,54.39,48.47,53.59,53.27,0.32,0.006
2009-04-23,46.98,52.69,46.98,49.23,53.59,-4.36,-0.08140000000000001
2009-04-24,45.68,49.14,45.48,47.12,49.23,-2.11,-0.0429
2009-04-27,47.12,50.47,47.12,49.11,47.12,1.99,0.0422
2009-04-28,49.11,49.89,47.25,48.74,49.11,-0.37,-0.0075
2009-04-29,48.74,48.74,45.74,45.87,48.74,-2.87,-0.0589
2009-05-04,45.87,50.66,45.16,50.51,45.87,4.64,0.1012
2009-05-05,50.51,51.68,48.35,51.14,50.51,0.63,0.0125
2009-05-06,51.14,53.7,48.85,52.04,51.14,0.9,0.0176
2009-05-07,52.04,53.84,51.04,51.08,52.04,-0.96,-0.0184
2009-05-08,51.08,51.08,48.45,50.94,51.08,-0.14,-0.0027
2009-05-11,50.94,55.23,50.76,54.76,50.94,3.82,0.075
2009-05-12,54.76,54.76,49.99,52.2,54.76,-2.56,-0.0467
2009-05-13,52.2,53.01,48.34,52.97,52.2,0.77,0.0148
2009-05-14,49.02,53.38,49.02,52.32,52.97,-0.65,-0.0123
2009-05-15,52.32,52.32,44.7,52.01,52.32,-0.31,-0.0059
2009-05-18,52.01,52.01,52.01,52.01,52.01,0.0,0.0
2009-05-19,52.01,57.1,48.01,56.07,52.01,4.06,0.0781
2009-05-20,51.05,54.66,49.4,49.51,56.07,-6.56,-0.11699999999999999
2009-05-21,46.24,47.98,42.22,43.31,49.51,-6.2,-0.1252
2009-05-22,39.22,44.6,39.22,41.97,43.31,-1.34,-0.0309
2009-05-25,35.12,42.59,35.12,39.38,41.97,-2.59,-0.0617
2009-05-26,39.38,44.3,39.38,43.87,39.38,4.49,0.114
2009-05-27,43.87,43.87,39.27,39.74,43.87,-4.13,-0.0941
2009-05-28,39.74,39.77,37.78,37.78,39.74,-1.96,-0.0493
2009-05-29,37.78,41.31,37.17,40.57,37.78,2.79,0.0738
2009-06-01,40.57,42.22,38.3,41.02,40.57,0.45,0.0111
2009-06-02,41.02,41.02,38.98,40.17,41.02,-0.85,-0.0207
2009-06-03,40.17,40.23,35.72,39.42,40.17,-0.75,-0.0187
2009-06-04,39.42,40.57,33.71,40.2,39.42,0.78,0.0198
2009-06-05,40.2,40.73,37.5,40.0,40.2,-0.2,-0.005
2009-06-08,40.0,42.11,37.99,42.06,40.0,2.06,0.051500000000000004
2009-06-09,42.06,42.06,37.43,39.84,42.06,-2.22,-0.05280000000000001
2009-06-10,39.84,40.08,35.99,39.44,39.84,-0.4,-0.01
2009-06-11,39.44,41.05,37.21,40.86,39.44,1.42,0.036000000000000004
2009-06-12,40.86,40.86,38.36,40.19,40.86,-0.67,-0.016399999999999998
2009-06-15,40.19,42.55,38.66,41.13,40.19,0.94,0.0234
2009-06-16,35.09,41.87,35.09,41.44,41.13,0.31,0.0075
2009-06-17,41.44,44.96,37.76,44.89,41.44,3.45,0.0833
2009-06-18,42.75,45.18,42.23,44.95,44.89,0.06,0.0013000000000000002
2009-06-19,40.3,44.04,40.3,42.47,44.95,-2.48,-0.0552
2009-06-22,40.68,45.0,40.68,44.17,42.47,1.7,0.04
2009-06-23,44.17,44.17,44.17,44.17,44.17,0.0,0.0
2009-06-24,44.17,49.31,44.17,44.17,44.17,0.0,0.0
2009-06-25,44.17,46.16,41.73,43.63,44.17,-0.54,-0.0122
2009-06-26,43.63,43.63,37.73,38.3,43.63,-5.33,-0.1222
2009-06-29,38.3,40.67,38.3,40.51,38.3,2.21,0.057699999999999994
2009-06-30,40.51,43.38,40.2,42.52,40.51,2.01,0.0496
2009-07-01,42.52,44.38,41.94,43.07,42.52,0.55,0.0129
2009-07-02,43.07,44.54,42.78,43.8,43.07,0.73,0.0169
2009-07-03,43.8,46.55,43.8,46.55,43.8,2.75,0.06280000000000001
2009-07-06,46.55,47.25,39.3,39.7,46.55,-6.85,-0.1472
2009-07-07,39.7,39.7,35.53,36.22,39.7,-3.48,-0.0877
2009-07-08,36.22,37.59,34.71,37.27,36.22,1.05,0.028999999999999998
2009-07-09,37.27,37.81,35.73,35.96,37.27,-1.31,-0.0351
2009-07-10,35.96,36.65,34.97,35.03,35.96,-0.93,-0.0259
