Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2000-01-03,1482.15,1592.9,1482.15,1592.2,25358322.0,8841500000.0,25.91,4.63,0.95
2000-01-04,1594.4,1641.95,1594.4,1638.7,38787872.0,19736900000.0,26.67,4.76,0.92
2000-01-05,1634.55,1635.5,1555.05,1595.8,62153431.0,30847900000.0,25.97,4.64,0.95
2000-01-06,1595.8,1639.0,1595.8,1617.6,51272875.0,25311800000.0,26.32,4.7,0.94
2000-01-07,1616.6,1628.25,1597.2,1613.3,54315945.0,19146300000.0,26.25,4.69,0.94
2000-01-10,1615.65,1662.1,1614.95,1632.95,45013949.0,23753500000.0,26.57,4.74,0.93
2000-01-11,1633.25,1639.9,1548.25,1572.5,49120254.0,25969500000.0,25.59,4.57,0.96
2000-01-12,1572.3,1631.55,1571.7,1624.8,38364961.0,18950000000.0,26.44,4.72,0.93
2000-01-13,1627.85,1671.15,1613.65,1621.4,44738447.0,22376100000.0,26.38,4.71,0.93
2000-01-14,1622.15,1627.4,1591.4,1622.75,43292009.0,19799800000.0,26.41,4.71,0.93
2000-01-17,1623.5,1668.45,1604.65,1611.6,42683260.0,21615900000.0,26.22,4.68,0.94
2000-01-18,1611.65,1615.15,1587.85,1606.7,37564199.0,17873500000.0,26.15,4.67,0.94
2000-01-19,1610.05,1644.45,1608.85,1634.85,42981295.0,21629200000.0,26.6,4.75,0.93
2000-01-20,1634.65,1644.4,1596.65,1601.1,42625471.0,20167700000.0,26.05,4.65,0.95
2000-01-21,1601.25,1626.5,1593.2,1620.6,39715905.0,20124800000.0,26.37,4.71,0.93
2000-01-24,1623.05,1645.0,1608.3,1613.6,34726595.0,19054500000.0,26.26,4.69,0.94
2000-01-25,1612.95,1613.65,1579.55,1586.4,36881758.0,18847600000.0,25.81,4.61,0.95
2000-01-27,1600.5,1633.55,1600.05,1603.9,38102878.0,19569000000.0,26.1,4.66,0.94
2000-01-28,1603.65,1610.9,1592.7,1599.1,46563431.0,21475300000.000004,26.02,4.65,0.95
2000-01-31,1598.35,1598.35,1538.7,1546.2,36153239.0,15010400000.0,25.16,4.49,0.98
2000-02-01,1546.2,1554.15,1521.4,1549.5,37161352.0,16920700000.0,25.13,4.51,0.98
2000-02-02,1554.2,1605.9,1554.2,1588.0,39358471.0,17601800000.0,25.75,4.62,0.95
2000-02-03,1591.25,1616.7,1591.25,1597.9,40826374.0,15388900000.000002,25.91,4.65,0.95
2000-02-04,1598.5,1621.35,1596.45,1599.75,30459542.0,16946600000.0,25.94,4.65,0.94
2000-02-07,1599.8,1645.9,1599.8,1636.6,34666978.0,20360700000.0,26.54,4.76,0.92
2000-02-08,1636.6,1676.1,1636.6,1662.75,40722843.0,19752900000.0,26.96,4.83,0.91
2000-02-09,1666.95,1731.65,1666.7,1689.65,41767017.0,20960000000.0,27.4,4.91,0.93
2000-02-10,1692.1,1713.7,1692.1,1711.2,30110126.0,16648599999.999998,27.75,4.98,0.92
