Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2000-01-03,3998.25,4291.15,3998.25,4288.6,7002292.0,4406400000.0,39.45,6.0,0.62
2000-01-04,4298.75,4515.15,4298.75,4488.2,14954843.0,13608400000.0,41.29,6.28,0.59
2000-01-05,4495.25,4579.35,4257.75,4291.65,20942962.0,21272900000.0,39.48,6.0,0.62
2000-01-06,4294.75,4377.75,4200.4,4244.3,16377169.0,13906300000.000002,39.04,5.94,0.62
2000-01-07,4241.85,4241.85,4020.3,4027.8,7166644.0,4673000000.0,37.05,5.63,0.66
2000-01-10,4031.25,4056.75,3933.15,3959.7,13307492.0,9972300000.0,36.43,5.54,0.67
2000-01-11,3986.35,4097.4,3721.3,3928.75,18670875.0,14491300000.000002,36.14,5.49,0.67
2000-01-12,3929.9,4109.25,3929.9,4066.1,10672420.0,8673500000.0,37.37,5.72,0.66
2000-01-13,4061.2,4117.9,3973.75,3995.05,10127776.0,8124900000.0,36.33,5.57,0.67
2000-01-14,3997.9,4019.4,3896.85,3937.4,10186674.0,7030100000.0,35.81,5.49,0.68
2000-01-17,3967.1,4056.3,3967.1,4034.0,11221635.0,8470500000.0,36.69,5.62,0.67
2000-01-18,4035.8,4040.4,3946.2,3959.0,12336920.0,8764700000.0,36.01,5.52,0.68
2000-01-19,4004.25,4169.75,4004.25,4158.75,9782259.0,6839800000.0,37.82,5.79,0.65
2000-01-20,4159.05,4331.25,4159.05,4252.95,14168513.0,12548900000.000002,38.68,5.93,0.63
2000-01-21,4253.6,4336.9,4232.65,4325.75,13758457.0,11088800000.000002,39.34,6.03,0.62
2000-01-24,4341.75,4441.15,4341.75,4378.95,14772185.0,13457500000.0,39.83,6.1,0.61
2000-01-25,4381.9,4385.35,4278.75,4328.8,14188580.0,11607500000.0,39.37,6.03,0.62
2000-01-27,4330.15,4492.55,4330.15,4364.9,12470300.0,10632500000.0,39.83,6.1,0.61
2000-01-28,4362.25,4534.9,4329.6,4509.9,19714921.0,18534900000.0,41.15,6.3,0.59
2000-01-31,4506.15,4540.8,4319.25,4351.9,19564683.0,18081600000.0,39.71,6.08,0.61
2000-02-01,4353.3,4469.2,4353.3,4432.9,17673586.0,15588599999.999998,40.19,6.19,0.6
2000-02-02,4447.1,4646.05,4447.1,4574.75,18993014.0,16495900000.0,41.48,6.39,0.58
2000-02-03,4592.3,4725.15,4588.25,4715.3,18022630.0,16568200000.0,42.75,6.58,0.57
2000-02-04,4717.95,4857.85,4699.1,4719.55,15687310.0,13521700000.0,42.79,6.59,0.57
2000-02-07,4719.55,4755.35,4614.55,4679.4,17903417.0,18778300000.0,42.43,6.53,0.57
2000-02-08,4681.65,4794.45,4655.05,4679.25,19380442.0,20310200000.0,42.43,6.53,0.57
2000-02-09,4688.35,4841.25,4657.25,4684.3,19645997.0,20386600000.0,42.47,6.54,0.57
2000-02-10,4676.4,4778.05,4651.7,4755.85,16712905.0,17852700000.0,43.12,6.64,0.56
2000-02-11,4758.3,4882.65,4758.1,4785.35,15002649.0,15502500000.0,43.39,6.68,0.56
2000-02-14,4787.65,4819.0,4661.3,4749.35,15947381.0,17383200000.0,43.06,6.63,0.56
2000-02-15,4741.8,4761.55,4584.45,4611.8,15980370.0,15843699999.999998,42.01,6.42,0.58
2000-02-16,4613.65,4796.3,4613.65,4734.7,13729988.0,14962600000.0,43.17,6.6,0.56
2000-02-17,4736.1,4893.0,4736.1,4854.75,18014029.0,19664300000.0,44.26,6.76,0.55
2000-02-18,4856.05,4960.1,4825.5,4850.7,16751562.0,20573000000.0,44.22,6.76,0.55
2000-02-21,4876.25,5056.8,4876.25,5042.85,14854903.0,16834800000.0,45.98,7.03,0.53
2000-02-22,5043.8,5231.65,5043.8,5086.95,16589944.0,19661400000.0,46.38,7.09,0.53
2000-02-23,5251.3,5365.9,4886.5,4931.3,15916759.0,20583800000.0,44.75,6.86,0.55
2000-02-24,4933.75,5146.8,4887.3,4992.25,13113920.0,16207300000.0,45.3,6.95,0.54
2000-02-25,4996.9,5147.05,4725.9,4766.45,9050490.0,10073800000.0,43.25,6.63,0.57
2000-02-28,4764.65,4879.8,4560.25,4725.0,11869043.0,11012200000.0,42.88,6.57,0.57
2000-02-29,4726.85,4903.7,4394.3,4447.25,19583909.0,18051100000.0,40.36,6.19,0.61
2000-03-01,4446.45,4703.1,4395.45,4679.15,11935555.0,13537600000.0,42.44,6.51,0.59
2000-03-02,4682.35,4960.75,4682.35,4893.95,11769421.0,12817100000.0,44.39,6.81,0.56
2000-03-03,4886.8,5065.65,4661.0,4711.65,13887179.0,15967700000.0,42.74,6.55,0.58
2000-03-06,4711.65,4853.6,4711.65,4804.85,11878464.0,14156800000.0,43.58,6.68,0.57
