Country Name,Country Code,2010,2011,2012,2013,2014
Afghanistan,AFG,20.6000003815,20.8999996185,19.7000007629,21.1000003815,20.7999992371
Angola,AGO,10.8000001907,10.6999998093,10.6999998093,10.6000003815,10.5
Albania,ALB,25.7999992371,27,28.2999992371,28.7000007629,29.2000007629
Arab World,ARB,25.0222141591,28.1175156719,29.1132120157,29.3353060436,29.7045691168
United Arab Emirates,ARE,9.8000001907,9.8000001907,9.8000001907,9.8999996185,10
Argentina,ARG,19.5,18.7999992371,18.3999996185,19.7000007629,21.2999992371
Armenia,ARM,38.2999992371,38.7000007629,35,32.5,35.0999984741
Australia,AUS,11.3999996185,11.3999996185,11.6999998093,12.1999998093,13.1000003815
Austria,AUT,8.8000001907,8.1999998093,8.6999998093,9.1000003815,9.1999998093
Azerbaijan,AZE,14.6000003815,14.5,14.3000001907,13.3999996185,13.6000003815
Burundi,BDI,10.8000001907,10.8000001907,10.8000001907,10.8000001907,10.6999998093
Belgium,BEL,22.5,18.6000003815,19.7000007629,23.1000003815,23.6000003815
Benin,BEN,2,2,2,1.7999999523,1.7000000477
Burkina Faso,BFA,5.1999998093,5.3000001907,5.1999998093,5.1999998093,5
Bangladesh,BGD,8.1999998093,8.1999998093,8.1999998093,8.8999996185,9.1000003815
Bulgaria,BGR,22.8999996185,25.2000007629,28.2000007629,29.7000007629,25.8999996185
Bahrain,BHR,10.1999998093,11.3999996185,10.5,10.6000003815,10.8999996185
"Bahamas, The",BHS,36,27.2000007629,30.3999996185,30.7999992371,30.1000003815
Bosnia and Herzegovina,BIH,57.2000007629,57.0999984741,61.7000007629,57.4000015259,57.5
Belarus,BLR,13.1999998093,12.5,11.8000001907,12,12
Belize,BLZ,20.8999996185,24.2999992371,26,22.3999996185,22
Bolivia,BOL,6,5.5,5.5,5.0999999046,5.1999998093
Brazil,BRA,17.2000007629,15.1999998093,14.3999996185,14.6999998093,15.1999998093
Barbados,BRB,25.2999992371,25.5,26.5,26.2000007629,26.7999992371
Brunei Darussalam,BRN,10.8999996185,10.8999996185,11,11.3000001907,11.1000003815
Bhutan,BTN,8.3999996185,8.3999996185,6.4000000954,10.3999996185,10
Botswana,BWA,33,33.2000007629,33.2999992371,32.7999992371,33.9000015259
Central African Republic,CAF,10.8000001907,10.8000001907,10.6999998093,12,11.8999996185
Canada,CAN,14.8000001907,14.1000003815,14.3000001907,13.8000001907,13.3999996185
Central Europe and the Baltics,CEB,24.5585104398,25.4807708113,26.3224709199,26.7754589605,24.3267351826
Switzerland,CHE,7.6999998093,7.5999999046,8.5,8.8000001907,8.6999998093
Chile,CHL,18.6000003815,17.6000003815,16.2000007629,16.1000003815,16.3999996185
China,CHN,9,9.3000001907,9.6999998093,10.1000003815,10.5
Cote d'Ivoire,CIV,6.1999998093,6.3000001907,6,6,5.8000001907
Cameroon,CMR,6.4000000954,6.4000000954,6.4000000954,6.3000001907,6.6999998093
"Congo, Rep.",COG,10.6000003815,10.8000001907,10.8000001907,10.8000001907,10.6999998093
Colombia,COL,24.2999992371,23.2000007629,20.6000003815,16.8999996185,18.8999996185
Comoros,COM,10.6000003815,10.6000003815,10.5,10.5,10.6000003815
Cabo Verde,CPV,18.2000007629,18.1000003815,18.2999992371,18.2999992371,18.7999992371
Costa Rica,CRI,17,17,18.7999992371,19.8999996185,19.2000007629
Caribbean small states,CSS,25.004049807,23.8588269577,25.9775735547,26.4774603156,24.5967753715
Cuba,CUB,6.0999999046,6.6999998093,6.8000001907,6.9000000954,7.0999999046
Cyprus,CYP,16,21.3999996185,26.7999992371,36.9000015259,35.7000007629
Czech Republic,CZE,18.5,17.8999996185,19.6000003815,18.8999996185,16.7000007629
Germany,DEU,9.6999998093,8.3999996185,8.1000003815,7.8000001907,7.5999999046
Denmark,DNK,14.1000003815,14.3000001907,14.1000003815,13,12.3999996185
Dominican Republic,DOM,25.2999992371,30,30.8999996185,31.8999996185,31.3999996185
Algeria,DZA,22.2000007629,22.5,26.2999992371,20.3999996185,20
East Asia & Pacific (excluding high income),EAP,11.0018219321,10.6879596678,10.8914205757,11.5114838399,11.7905789249
Early-demographic dividend,EAR,14.2507459309,14.1804193217,14.328332246,14.2231810434,14.3505036316
East Asia & Pacific,EAS,10.9251296105,10.5861371093,10.7546950254,11.2969454042,11.570404903
Europe & Central Asia (excluding high income),ECA,19.2243398817,18.3308470973,17.8410419476,17.2950161076,17.2492839678
Europe & Central Asia,ECS,20.4329997585,20.229570078,21.1039424262,21.1832203619,20.8899802535
Ecuador,ECU,11.3000001907,10.6999998093,10.8999996185,9.8000001907,10.8000001907
"Egypt, Arab Rep.",EGY,26.2999992371,33.9000015259,37.9000015259,41.7000007629,42
Euro area,EMU,22.3871307255,22.9145776032,25.8080948858,26.9388896771,27.5839459839
Eritrea,ERI,10.8000001907,10.6000003815,10.6000003815,10.8000001907,10.8999996185
Spain,ESP,42.5,47.0999984741,54.2999992371,57.0999984741,57.9000015259
Estonia,EST,33.2999992371,22.6000003815,21,18.7000007629,17
